"name","region","lat.capital","long.capital"
"Paramaribo","Suriname",5.85,-55.2
"Paris","France",48.86,2.34
"Phnum Penh","Cambodia",11.57,104.92
"Port Louis","Mauritius",-20.17,57.51
"Port Moresby","Papua New Guinea",-9.48,147.18
"Port Stanley","Falkland Islands",-51.7,-57.82
"Port of Spain","Trinidad and Tobago",10.66,-61.51
"Port-au-Prince","Haiti",18.54,-72.34
"Porto Novo","Benin",6.48,2.63
"Prague","Czech Republic",50.08,14.43
"Praia","Cape Verde",14.93,-23.54
"Pretoria","South Africa",-25.73,28.22
"Pyongyang","Korea North",39.02,125.75
"Quito","Ecuador",-0.19,-78.5
"Rabat","Morocco",34.02,-6.84
"Rangoon","Myanmar",16.79,96.15
"Reykjavik","Iceland",64.14,-21.92
"Riga","Latvia",56.97,24.13
"Rita","Marshall Islands",7.12,171.06
"Riyadh","Saudi Arabia",24.65,46.77
"Road Town","British Virgin Islands",18.43,-64.63
"Rome","Italy",41.89,12.5
"Roseau","Dominica",15.3,-61.39
"Saint George's","Grenada",12.06,-61.74
"Saint Helier","Jersey",49.19,-2.11
"Saint John's","Antigua and Barbuda",17.11,-61.85
"Saint Peter Port","Guernsey and Alderney",49.47,-2.55
"Saint-Denis","Reunion",-20.87,55.46
"Saint-Pierre","Saint Pierre and Miquelon",46.79,-56.18
"San Jose","Costa Rica",10.97,-85.13
"San Jose","Costa Rica",9.93,-84.08
"San Juan","Puerto Rico",18.44,-66.13
"San Marino","San Marino",43.94,12.43
"San Salvador","El Salvador",13.69,-89.19
"San'a","Yemen",15.38,44.21
"Santiago","Chile",-33.46,-70.64
"Santo Domingo","Dominican Republic",18.48,-69.91
"Sao Tome","Sao Tome and Principe",0.37,6.73
"Sarajevo","Bosnia and Herzegovina",43.85,18.38
"Singapore","Singapore",1.3,103.85
"Skopje","North Macedonia",42,21.47
"Sofia","Bulgaria",42.69,23.31
"Seoul","Korea South",37.56,126.99
"Stockholm","Sweden",59.33,18.07
"Sucre","Bolivia",-19.06,-65.26
"Susupe","Northern Mariana Islands",15.14,145.7
"Taipei","Taiwan",25.02,121.45
"Tallinn","Estonia",59.44,24.74
"Tashkent","Uzbekistan",41.31,69.3
"Tbilisi","Georgia",41.72,44.79
"Tegucigalpa","Honduras",14.09,-87.22
"Tehran","Iran",35.67,51.43
"The Valley","Anguilla",18.22,-63.05
"Thimphu","Bhutan",27.48,89.7
"Tirana","Albania",41.33,19.82
"Tokyo","Japan",35.67,139.77
"Torshavn","Faroe Islands",62.03,-6.8
"Tripoli","Libya",32.87,13.18
"Tunis","Tunisia",36.84,10.22
"Ulaanbaatar","Mongolia",47.93,106.91
"Vaduz","Liechtenstein",47.14,9.53
"Vaiaku","Tuvalu",-8.52,179.2
"Valletta","Malta",35.91,14.52
"Vatican City","Vatican City",41.9,12.46
"Victoria","Seychelles",-4.62,55.45
"Vienna","Austria",48.22,16.37
"Vientiane","Laos",17.97,102.61
"Vila","Vanuatu",-17.74,168.31
"Vilnius","Lithuania",54.7,25.27
"Warsaw","Poland",52.26,21.02
"Washington","USA",38.91,-77.02
"Wellington","New Zealand",-41.28,174.78
"Willemstad","Netherlands Antilles",12.1,-68.93
"Windhoek","Namibia",-22.56,17.09
"Yamoussoukro","Ivory Coast",6.82,-5.28
"Yaounde","Cameroon",3.87,11.52
"Yaren","Nauru",-0.55,166.91
"Yerevan","Armenia",40.17,44.52
"Zagreb","Croatia",45.8,15.97
"al-'Ayun","Western Sahara",27.16,-13.2
"al-Kuwayt","Kuwait",29.38,47.99
